=============================================================
   File          : filled_santarem_km83.txt
   Header length : 47
   Site          : Santarem - Km 83
   Longitude     : -54.971
   Latitude      : -3.018
   
   Updated 2013-01-21 by: 
      Marcos Longo   <mlongo@fas.harvard.edu>
 
   Based on the data originally processed by:
      Natalia Coupe  <nataliacoupe@gmail.com>
                                            
   
   Disclaimer: QAQC on these data are a work in progress.
               Version for public use subject to changes.
   
   Fair use policy: These are not Harvard data and they are
               subject to the LBA policy.  If you would
               like to use these data for any research,
               please contact the PI responsible for the site
               and get an authorisation from them first.
   
   PI: Scott Miller  <smiller@albany.edu>
   URL: http://daac.ornl.gov/LBA/guides/CD04_Meteorology_Fluxes.html
   
   Note: time stamp is the end of the hour average
         time in UTC
   
   Variable         Description                  Unit        
  -----------------------------------------------------------
   year             Year                         [       yr]
   month            Month                        [      mon]
   day              Day                          [      day]
   hour             Hour                         [       hr]
   min              Minute                       [      min]
   sec              Second                       [        s]
   atm.prss         Pressure                     [       Pa]
   atm.tmp          Temperature                  [        K]
   atm.shv          Specific humidity            [    kg/kg]
   atm.vels         Wind speed                   [      m/s]
   atm.vdir         Wind direction               [      deg]
   rshort.in        Incoming shortwave radiation [     W/m2]
   rlong.in         Incoming longwave radiation  [     W/m2]
   rain             Rainfall                     [  kg/m2/s]
=============================================================
   
year,month,day,hour,min,sec,atm.prss,atm.tmp,atm.shv,atm.vels,atm.vdir,rshort.in,rlong.in,rain
2000,1,1,0,0,0,98593.1186552171,300.581306545393,0.018256079741435,2.67324304732089,204.32866702693,0,421.323792691747,0
2000,1,1,1,0,0,98663.4141026112,300.196048574598,0.0180605627857723,2.68029424584051,201.468287962503,0,418.819870076483,0
2000,1,1,2,0,0,98716.471003946,299.797074901817,0.0178566980838084,2.62475686240235,200.080441970692,0,416.232261075839,0
2000,1,1,3,0,0,98734.8219290141,299.329058097416,0.0176446372590046,2.57927168867159,200.568259144828,0,413.283042858566,0.011
2000,1,1,4,0,0,98714.6318234906,298.829958207184,0.0174290653550942,2.57284077114798,201.685639284023,0,410.187269339298,0
2000,1,1,5,0,0,98669.1731958035,298.390544095919,0.0172137953439269,2.65983525164431,202.163361737324,0,407.401106186496,0
2000,1,1,6,0,0,98622.1371847847,298.059555299758,0.0169923429271121,2.81264794048471,201.757705176088,0,405.124439189431,0
2000,1,1,7,0,0,98595.3755753316,297.797801374062,0.0167531303143594,2.9357826671613,199.898062926958,0,403.129874480824,0
2000,1,1,8,0,0,98599.8793478294,297.536006149581,0.0164995607777436,3.01492041756916,195.56339775936,0,401.109206473264,0
2000,1,1,9,0,0,98635.1554164542,297.282672640211,0.0162632361553476,3.02114871388074,189.132491682947,0,399.203243744215,0
2000,1,1,10,0,0,98694.4202154132,297.169007558667,0.0160896315950687,2.88738714551752,183.351275089353,59.007343064972,398.149810112539,0
2000,1,1,11,0,0,98768.7546464769,297.371051484417,0.0160022072872511,2.7774261511092,182.331674869078,153.320907783781,398.830354352142,0
2000,1,1,12,0,0,98846.418974382,297.966577698755,0.0159769178714382,2.94334420972228,186.877223193997,284.422594831342,401.903955671828,0
2000,1,1,13,0,0,98910.3111729529,298.852245106444,0.0159555427172524,3.22869378704138,192.631860541566,411.995993943091,406.094589429305,0
2000,1,1,14,0,0,98939.7569726727,299.796973863807,0.0158924826452516,3.26960429707178,195.662016070536,498.910451324506,410.721126725604,0
2000,1,1,15,0,0,98918.8720574705,300.586074013393,0.015796526015731,3.10302693399965,194.889251559994,532.096549169229,414.573024293043,0
2000,1,1,16,0,0,98846.4740527501,301.132541333894,0.0157295380986169,3.00434119769585,192.250779625182,521.263998871746,417.258017672036,0
2000,1,1,17,0,0,98739.3841268292,301.469875121817,0.015759781176635,2.98579902302591,191.463290204591,480.732281375711,419.104683459773,0
2000,1,1,18,0,0,98625.5007393276,301.654896845689,0.0159071902452567,2.93666757316048,193.140319739532,414.8646643416,420.470476963858,0.00158333333333333
2000,1,1,19,0,0,98531.2555349598,301.687606134033,0.0161259524698042,2.88176264156287,193.855350887254,321.547801333579,421.244250917707,0
2000,1,1,20,0,0,98472.2762772702,301.52487224499,0.016338043829358,2.81908410468962,190.744819988867,207.798876925963,421.018510975854,0
